Fakturanr.;Fakturadato;Forfallsdato;Kundenummer;Avdelingsnummer;Avdelingsnavn;Prosjektnummer;Prosjektleder Nummer;Beløp ekskl. mva;Valuta;Beløp inkl. mva;Betalt;Utestående;Purring;Purring Status;Purring Sist sendt;Purring Forfallsdato
7908.0;0001-10-31;0001-11-30;10795;;Avdeling;-001.45;;25410.0;NOK;31762.5;0.0;31762.5;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7909.0;0001-10-31;0001-11-30;10838;;Avdeling;0001.70;;26160.0;NOK;32700.0;32700.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7910.0;0001-10-31;0001-11-30;10837;;Avdeling;0001.85;;34260.0;NOK;42825.0;42825.0;0.0;;;;
7911.0;0001-10-31;0001-11-30;10800;;Avdeling;0001.72;;199390.0;NOK;249237.5;249237.5;0.0;;;;
7912.0;0001-10-31;0001-11-30;10513;;Avdeling;0001.61;;93870.0;NOK;117337.5;0.0;117337.5;;;;
7913.0;0001-10-31;0001-11-30;10830;;Avdeling;0001.47;;170130.0;NOK;212662.5;212662.5;0.0;;;;
7914.0;0001-10-31;0001-11-30;10819;;Avdeling;0001.45;;50960.0;NOK;63700.0;63700.0;0.0;;;;
7915.0;0001-10-31;0001-11-30;10800;;Avdeling;0001.22;;27000.0;NOK;33750.0;33750.0;0.0;;;;
7916.0;0001-10-31;0001-11-30;10285;;Avdeling;0000.93;;122500.0;NOK;153125.0;153125.0;0.0;;;;
7917.0;0001-10-31;0001-11-30;10772;;Avdeling;0000.75;;35000.0;NOK;43750.0;43750.0;0.0;;;;
7918.0;0001-10-31;0001-11-30;10000;;Avdeling;0000.61;;8050.0;NOK;10062.5;10062.5;0.0;;;;
7919.0;0001-10-31;0001-11-30;10483;;Avdeling;0000.25;;32200.0;NOK;40250.0;40250.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7920.0;0001-10-31;0001-11-30;10483;;Avdeling;nan;;38520.0;NOK;48150.0;48150.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7921.0;0001-10-31;0001-11-30;10483;;Avdeling;nan;;9200.0;NOK;11500.0;11500.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7922.0;0001-10-31;0001-12-05;10001;;Avdeling;0000.20;;13720.0;NOK;17150.0;17150.0;0.0;;;;
7923.0;0001-10-31;0001-11-30;10663;;Avdeling;-001.72;;58230.0;NOK;72787.5;72787.5;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7924.0;0001-10-31;0001-11-30;10135;;Avdeling;nan;;5880.0;NOK;7350.0;7350.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7925.0;0001-10-31;0001-11-30;10572;;Avdeling;nan;;54870.0;NOK;68587.5;68587.5;0.0;;;;
7926.0;0001-10-31;0001-12-30;10135;;Avdeling;nan;;5760.0;NOK;7200.0;0.0;7200.0;;;;
7927.0;0001-10-31;0001-11-30;10135;;Avdeling;nan;;7680.0;NOK;9600.0;0.0;9600.0;;;;
7928.0;0001-10-31;0001-11-30;10845;;Avdeling;nan;;5750.0;NOK;7187.5;7187.5;0.0;;;;
7929.0;0001-10-31;0001-11-30;10483;;Avdeling;nan;;13800.0;NOK;17250.0;17250.0;0.0;;;;
7930.0;0001-10-31;0001-11-30;10696;;Avdeling;nan;;125820.0;NOK;157275.0;157275.0;0.0;;;;
7931.0;0001-09-30;0001-09-30;10003;;Avdeling;0000.70;;-244020.0;NOK;-305025.0;0.0;-305025.0;;;;
7932.0;0001-10-31;0001-11-30;10003;;Avdeling;0000.70;;304780.0;NOK;380975.0;380975.0;0.0;;;;
7933.0;0001-10-31;0001-11-30;10834;;Avdeling;0001.63;;101454.0;NOK;126817.5;126817.5;0.0;;;;
7934.0;0001-10-31;0001-11-30;10835;;Avdeling;0001.57;;103290.0;NOK;129112.5;129112.5;0.0;;;;
7935.0;0001-10-31;0001-11-30;10171;;Avdeling;nan;;54950.0;NOK;68687.5;68687.5;0.0;;;;
7936.0;0001-10-31;0001-11-30;10827;;Avdeling;0001.56;;182700.0;NOK;228375.0;0.0;228375.0;;;;
7937.0;0001-10-31;0001-11-30;10804;;Avdeling;0001.26;;160000.0;NOK;200000.0;0.0;200000.0;;;;
7938.0;0001-10-31;0001-11-30;10804;;Avdeling;nan;;44000.0;NOK;55000.0;0.0;55000.0;;;;
7939.0;0001-10-31;0001-11-30;10524;;Avdeling;0001.08;;4000.0;NOK;5000.0;0.0;5000.0;;;;
7940.0;0001-10-31;0001-11-30;10510;;Avdeling;0000.92;;12210.8;NOK;15263.5;15263.5;0.0;;;;
7941.0;0001-10-31;0001-11-30;10750;;Avdeling;0000.59;;1150.0;NOK;1437.5;1437.5;0.0;;;;
7942.0;0001-10-31;0001-11-30;10325;;Avdeling;0000.23;;5140.0;NOK;6425.0;6425.0;0.0;;;;
7943.0;0001-10-31;0001-11-30;10693;;Avdeling;0000.15;;10780.0;NOK;13475.0;13475.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7944.0;0001-10-31;0001-11-30;10645;;Avdeling;-001.57;;45410.0;NOK;56762.5;56762.5;0.0;;;;
7945.0;0001-10-31;0001-11-30;10001;;Avdeling;nan;;43120.0;NOK;53900.0;53900.0;0.0;;;;
7946.0;0001-10-31;0001-11-30;10372;;Avdeling;nan;;111650.0;NOK;139562.5;139562.5;0.0;;;;
7947.0;0001-10-31;0001-11-30;10727;;Avdeling;nan;;900.0;NOK;1125.0;1125.0;0.0;;;;
7948.0;0001-10-31;0001-11-30;10719;;Avdeling;nan;;21560.0;NOK;26950.0;26950.0;0.0;;;;
7949.0;0001-10-31;0001-11-30;10010;;Avdeling;nan;;1840.0;NOK;2300.0;2300.0;0.0;;;;
7950.0;0001-10-31;0001-11-30;10010;;Avdeling;nan;;61140.0;NOK;76425.0;76425.0;0.0;;;;
7951.0;0001-10-31;0001-11-30;10032;;Avdeling;nan;;166000.0;NOK;207500.0;207500.0;0.0;;;;
7952.0;0001-10-31;0001-11-14;10003;;Avdeling;0001.84;;19600.0;NOK;24500.0;24500.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7953.0;0001-10-31;0001-11-30;10837;;Avdeling;0001.81;;49070.0;NOK;61337.5;61337.5;0.0;;;;
7954.0;0001-10-31;0001-11-30;10842;;Avdeling;0001.69;;17640.0;NOK;22050.0;22050.0;0.0;;;;
